#{"t_start": 1686746772.4573576, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
296695.67517,7797,15087.933133
296845.138098,7797,15136.393355
296620.315775,7797,15184.807016
296822.495425,7797,15233.222604
296516.284114,7797,15281.698894
296349.515821,7797,15330.164049
296674.375736,7797,15378.747916
296380.591494,7797,15427.227282
296529.305761,7797,15475.757073
296430.075426,7797,15524.251282
296589.223039,7797,15572.700076
296537.137481,7797,15621.182971
296643.241108,7797,15669.688533
296498.012773,7797,15718.160078
296484.789525,7797,15766.689935
296629.797505,7797,15815.064409
296848.810242,7797,15863.479506
296359.676798,7797,15911.922045
296564.177017,7797,15960.430075
296481.901937,7797,16008.892943
296394.230234,7797,16057.269183
296409.327363,7797,16105.582611
296287.903291,7797,16153.967499
296645.59813,7797,16202.450924
296920.781939,7797,16250.949834
296719.533353,7797,16299.348609
296371.671524,7797,16347.742039
296323.767022,7797,16396.215309
296634.919155,7797,16444.693673
296554.902599,7797,16493.146735
296443.485816,7797,16541.673293
296931.164057,7797,16590.165361
296437.258086,7797,16638.711813
296151.968166,7797,16687.200045
296748.635185,7797,16735.648719
296623.136515,7797,16784.095483
296717.529097,7797,16832.620381
296643.280241,7797,16881.162343
296557.830328,7797,16929.65953
296655.715413,7797,16978.177854
296521.0341,7797,17026.669171
296728.507363,7797,17075.215499
296176.312829,7797,17123.626481
296248.744662,7797,17172.189669
296360.863203,7797,17220.763929
296764.713831,7797,17269.247361
296696.406909,7797,17317.720417
296443.153615,7797,17366.174532
296639.33738,7797,17414.708043
296811.376221,7797,17463.184862
296367.170089,7797,17511.650741
296586.716602,7797,17560.226398
296513.073952,7797,17608.873237
296790.100742,7797,17657.495463
296547.370228,7797,17706.041621
296450.768313,7797,17754.572252
296942.761105,7797,17803.090711
296491.496691,7797,17851.561967
296714.917529,7797,17900.107316
296595.598234,7797,17948.555565
296413.600452,7797,17996.996074
297210.043488,7797,18045.380319
296864.883139,7797,18093.862273
296691.809521,7797,18142.338477
296829.954104,7797,18190.847318
296185.719122,7797,18239.298027
296557.633503,7797,18287.68578
296474.739792,7797,18336.092306
296728.296733,7797,18384.558582
296537.593013,7797,18433.093248
296646.788397,7797,18481.551047
296542.910716,7797,18530.146563
296868.871019,7797,18578.638976
