#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
215522.621664,7797,30474.561358
215481.753254,7797,30525.717228
215603.320822,7797,30576.805637
214950.595266,7797,30628.142889
215353.886405,7797,30679.193917
215516.316595,7797,30730.831139
214936.55062,7797,30782.081835
215314.07561,7797,30832.905336
215478.043193,7797,30883.830893
215540.67072,7797,30934.794759
215180.430804,7797,30985.864734
215883.206313,7797,31037.977748
215663.06985,7797,31090.341089
215967.71393,7797,31141.586809
215511.67267,7797,31196.028884
215441.439718,7797,31247.527002
215745.651432,7797,31299.104637
215292.263043,7797,31350.930313
215749.341663,7797,31402.876266
215582.189997,7797,31454.947795
215522.937767,7797,31506.534362
215247.532852,7797,31558.196223
214869.889976,7797,31610.046407
215535.76975,7797,31661.319845
215502.78299,7797,31712.573563
215116.178909,7797,31764.202126
215686.426046,7797,31816.029557
215023.93561,7797,31867.775538
215409.744722,7797,31921.391421
214988.444549,7797,31974.447912
214524.37701,7797,32028.288602
215251.373406,7797,32081.451036
215432.975603,7797,32135.444776
215865.481007,7797,32189.827091
215994.659977,7797,32242.693975
215056.985585,7797,32293.760968
214954.245374,7797,32344.784078
215350.30339,7797,32396.001971
215129.954027,7797,32447.251705
216107.107974,7797,32498.26777
216055.855503,7797,32549.285065
214986.662984,7797,32601.896383
215285.976118,7797,32653.495872
215237.153463,7797,32704.654438
215448.729496,7797,32755.875933
215846.783933,7797,32807.229688
214960.715825,7797,32858.987123
215239.836659,7797,32911.004949
215854.829552,7797,32964.255679
215617.822435,7797,33016.381064
215415.766117,7797,33067.825331
215819.682282,7797,33119.498297
215719.796733,7797,33171.188393
215738.481038,7797,33223.165959
215736.900304,7797,33275.944561
216321.786141,7797,33327.382425
215714.204869,7797,33378.239934
215125.276737,7797,33429.473822
215174.372041,7797,33480.444181
215793.28529,7797,33531.308632
216018.29691,7797,33582.219647
215985.252361,7797,33633.291955
215993.048042,7797,33684.133041
216113.514652,7797,33734.84904
215257.50688,7797,33785.712853
215340.889436,7797,33836.583947
215407.457746,7797,33887.449298
215613.663968,7797,33938.354719
215357.250857,7797,33989.161651
215608.388739,7797,34039.889667
215809.365529,7797,34090.875299
215205.21714,7797,34142.111105
215347.126819,7797,34193.2474
215251.470804,7797,34244.491261
215192.768697,7797,34295.802295
215431.105141,7797,34346.940116
215699.633815,7797,34398.133517
215696.021331,7797,34448.959315
215892.006599,7797,34499.89194
215550.634755,7797,34550.85947
215900.021626,7797,34601.754735
215019.13494,7797,34652.722237
215007.050996,7797,34704.607815
215371.495203,7797,34755.45833
215647.424026,7797,34807.217349
215117.55889,7797,34858.506
215469.809803,7797,34909.624344
215204.505674,7797,34960.586158
214904.525345,7797,35011.528839
215475.078255,7797,35063.987164
215623.787744,7797,35116.582305
215734.960241,7797,35167.50024
215934.603294,7797,35218.36697
215593.430932,7797,35272.158401
215909.78102,7797,35323.269841
215163.601627,7797,35374.448568
215168.74795,7797,35425.608364
215370.508308,7797,35476.819738
215878.207596,7797,35527.904519
215244.988129,7797,35579.790279
215272.361893,7797,35630.91821
215896.672006,7797,35684.511873
215037.034723,7797,35735.551441
215324.402721,7797,35786.682546
215204.290701,7797,35839.655623
215243.098645,7797,35892.792996
215636.894649,7797,35946.142745
214986.13794,7797,35997.50799
215037.2619,7797,36048.942587
215229.415719,7797,36100.184611
215705.246715,7797,36151.085001
215106.079927,7797,36201.970211
215544.960713,7797,36253.049426
215880.010316,7797,36303.858356
215058.398542,7797,36354.632472
215058.355823,7797,36405.347143
215329.100599,7797,36455.782211
215284.901429,7797,36506.35149
215755.579058,7797,36557.052186
215809.331129,7797,36607.81962
215428.764108,7797,36659.413822
215330.316886,7797,36710.590012
215133.734063,7797,36761.580688
215336.697963,7797,36814.437852
215755.055126,7797,36865.146056
215643.280262,7797,36917.337922
215052.811666,7797,36968.853942
215739.32974,7797,37019.883533
215494.545386,7797,37070.717927
215313.063903,7797,37121.601895
215665.02226,7797,37173.033882
215582.588045,7797,37224.115607
215836.588601,7797,37275.223469
215327.117886,7797,37326.270735
215062.998807,7797,37377.639883
215760.14685,7797,37428.212133
215557.851812,7797,37478.88873
214839.940814,7797,37530.129084
215051.938407,7797,37581.231463
215195.628789,7797,37632.200986
215250.252761,7797,37684.092073
215769.553845,7797,37737.149331
215374.040867,7797,37788.400198
215780.132006,7797,37840.835258
214544.731696,7797,37892.382081
215494.520743,7797,37944.410813
215363.860461,7797,37996.894781
215127.845141,7797,38048.551201
215920.979021,7797,38099.426833
215443.483524,7797,38150.121389
215918.613908,7797,38200.501494
215566.228398,7797,38251.454526
215408.735894,7797,38302.245909
215326.366906,7797,38353.967436
215176.221769,7797,38408.077681
215357.827889,7797,38460.036219
215695.963196,7797,38511.98294
215483.119097,7797,38563.554661
215302.477535,7797,38614.299448
215490.383751,7797,38665.764881
215113.905962,7797,38718.633812
216030.011808,7797,38771.23238
215431.844333,7797,38823.744609
215078.452894,7797,38876.715964
215435.389241,7797,38929.6147
215771.791648,7797,38982.001835
215762.645904,7797,39034.752184
215550.988141,7797,39086.830944
215681.754041,7797,39138.827972
215734.841096,7797,39190.761053
215542.594023,7797,39242.629329
215251.778212,7797,39294.973289
215468.043866,7797,39346.315629
215607.662359,7797,39397.658304
215653.881694,7797,39450.176106
215519.129686,7797,39505.590361
215386.195376,7797,39556.802956
215078.55573,7797,39608.529121
215621.23038,7797,39660.473465
215032.309374,7797,39712.248434
215994.170509,7797,39762.571282
215485.710923,7797,39812.691248
215500.384835,7797,39862.886757
215577.308656,7797,39913.032053
215954.192981,7797,39963.223722
215222.009196,7797,40013.436714
216040.464398,7797,40063.594595
215512.665482,7797,40113.66547
215665.112805,7797,40163.803879
215047.529276,7797,40214.006195
215249.639947,7797,40264.160384
215747.990239,7797,40314.352014
215909.095947,7797,40364.658684
215809.923104,7797,40414.831765
216663.057498,7797,40465.002592
215472.033176,7797,40515.219441
215007.385785,7797,40565.427388
215768.219227,7797,40615.773636
215604.141265,7797,40665.944507
215319.180554,7797,40716.221978
215964.05372,7797,40766.430297
215467.793174,7797,40816.668148
215044.450786,7797,40866.729916
215301.076753,7797,40916.824197
215078.466709,7797,40966.90813
216294.148539,7797,41017.043168
215351.345364,7797,41067.201515
214833.671428,7797,41117.572809
215814.98236,7797,41167.835252
215422.811237,7797,41217.9954
215581.807121,7797,41268.360783
215277.702326,7797,41318.426749
215453.719123,7797,41368.599048
214862.397664,7797,41418.815239
215954.509811,7797,41469.103621
215355.706731,7797,41519.330256
215651.29496,7797,41569.539079
215321.635165,7797,41619.612119
215313.318838,7797,41669.657875
215724.317612,7797,41719.907933
215583.983206,7797,41770.074555
215279.431454,7797,41820.261571
214747.981534,7797,41870.473099
215886.667346,7797,41920.63273
215382.606129,7797,41970.795962
215048.130027,7797,42021.04944
215057.822567,7797,42071.370332
215419.311082,7797,42121.526346
215366.838324,7797,42171.621549
215095.232281,7797,42221.951979
215482.995915,7797,42272.097004
215250.815238,7797,42322.368649
215525.070445,7797,42372.42889
215395.694781,7797,42422.504186
215556.937201,7797,42472.72105
215405.539746,7797,42522.850637
215668.567765,7797,42573.126654
215543.563767,7797,42623.45423
215038.840986,7797,42673.507843
215110.300592,7797,42723.637635
215192.098266,7797,42773.723429
215232.487431,7797,42823.847479
215261.369404,7797,42873.955074
215568.13276,7797,42924.167592
215640.186692,7797,42974.503062
