#{"t_start": 1684608732.1879709, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
143179.242642,7797,19044.727233
143025.366811,7797,19105.315897
144001.020498,7797,19166.769418
143268.777223,7797,19230.252684
143639.446948,7797,19290.537077
143984.501746,7797,19351.106305
143570.28034,7797,19413.132924
143508.205707,7797,19473.586651
143512.911259,7797,19535.505415
143961.766352,7797,19596.099264
143333.274044,7797,19656.600361
143738.831585,7797,19717.226469
143926.37897,7797,19781.051467
143536.968115,7797,19842.422399
144031.573223,7797,19903.631136
143540.750708,7797,19963.791614
143688.032682,7797,20025.288747
143978.626997,7797,20085.819667
144017.894633,7797,20147.241074
143022.781621,7797,20207.720487
143669.76557,7797,20267.761575
143580.896223,7797,20328.414156
143712.633512,7797,20393.09803
143822.465052,7797,20454.414368
143365.127624,7797,20516.881544
143213.225851,7797,20577.976578
143871.164669,7797,20638.699367
143325.218269,7797,20699.392095
143162.825754,7797,20760.046577
143639.731963,7797,20820.387808
143369.516292,7797,20880.934727
143811.503131,7797,20941.799305
143083.162602,7797,21006.949174
143463.23919,7797,21066.934175
143497.741164,7797,21126.977906
143759.844118,7797,21187.436749
142983.859722,7797,21247.758389
142856.385142,7797,21307.973175
143627.476413,7797,21368.195436
143577.831938,7797,21428.557328
143504.038716,7797,21489.179391
143688.253138,7797,21549.590787
143559.442852,7797,21613.469824
143520.471695,7797,21673.786502
143723.060979,7797,21734.440596
143525.7778,7797,21795.334371
143480.888407,7797,21856.584417
143720.106752,7797,21916.601133
143810.445185,7797,21977.337947
143561.437241,7797,22038.109267
143844.863419,7797,22103.080011
143743.321584,7797,22163.973583
143625.671426,7797,22227.839728
143230.215403,7797,22289.043858
144193.146866,7797,22349.712786
143173.403227,7797,22410.065214
143437.783703,7797,22470.240774
143717.830347,7797,22530.862078
143671.460396,7797,22592.395911
143493.356072,7797,22652.929316
143224.79387,7797,22713.407143
143316.937801,7797,22777.180601
143668.587455,7797,22839.686075
143522.174546,7797,22900.364908
143136.02785,7797,22961.292002
144290.733319,7797,23022.270976
143537.171626,7797,23082.770136
143271.991778,7797,23145.124518
143509.562533,7797,23205.694712
143236.453587,7797,23266.079894
143466.029369,7797,23326.474439
143449.514595,7797,23391.029967
143732.827224,7797,23451.540648
143907.15822,7797,23512.669285
143271.460067,7797,23573.098073
143831.972349,7797,23634.739618
143601.150796,7797,23695.551642
143340.521142,7797,23756.166444
144185.364403,7797,23816.649685
144035.792143,7797,23877.2076
143859.510153,7797,23938.346476
143997.368493,7797,24002.751825
143857.376675,7797,24064.160013
143202.867232,7797,24125.852117
143506.145536,7797,24186.529595
143367.886486,7797,24247.863574
143324.907541,7797,24309.084276
143463.353982,7797,24369.35085
143305.461753,7797,24429.159914
143552.615159,7797,24490.560416
142529.823643,7797,24551.256801
143608.347342,7797,24615.512668
143674.575915,7797,24676.02719
143575.835245,7797,24736.619166
143757.872156,7797,24796.855192
143702.095755,7797,24857.632619
143170.731692,7797,24917.964957
143538.218888,7797,24978.229116
143672.138935,7797,25038.514031
143621.083043,7797,25099.011538
143454.133686,7797,25159.511627
143806.965165,7797,25223.261572
143900.730959,7797,25284.251033
143233.86391,7797,25345.166445
143476.680358,7797,25405.980005
143111.940401,7797,25466.119535
143472.296549,7797,25526.584332
143745.227222,7797,25587.210649
143972.99426,7797,25647.823392
143390.584306,7797,25707.37849
142895.231381,7797,25768.571449
144097.176698,7797,25832.081002
143230.631642,7797,25893.061022
143981.530189,7797,25953.855064
144104.092122,7797,26014.100037
143943.169431,7797,26073.969833
